City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,blackmans bay,-43.0167,147.3167,20.96,71,74,0.45,AU,1738368697
118,lae,-6.7221,146.9847,29.04,64,100,1.84,PG,1738368841
119,port alfred,-33.5906,26.891,17.88,92,3,4.94,ZA,1738368842
120,aykhal,66.0,111.5,-27.69,93,100,2.8,RU,1738368633
121,bredasdorp,-34.5322,20.0403,19.58,73,41,1.07,ZA,1738368707
122,lamu,-2.2717,40.902,24.22,89,75,5.22,KE,1738368846
123,al kharijah,25.4514,30.5464,13.16,50,96,5.08,EG,1738368847
124,port douglas,-16.4833,145.4667,28.14,79,100,2.4,AU,1738368848
125,mandalay,21.9747,96.0836,16.95,45,69,0.7,MM,1738368849
126,constantia,44.1833,28.65,7.61,91,81,2.91,RO,1738368847
127,stanley,54.868,-1.6985,3.07,88,75,1.54,GB,1738368852
128,kodiak,57.79,-152.4072,0.73,60,0,5.66,US,1738368853
129,chui,-33.6971,-53.4616,19.81,85,1,2.99,UY,1738368854
130,paracale,14.2804,122.7881,25.43,87,92,1.78,PH,1738368855
131,summerside,46.3959,-63.7876,-7.79,94,99,3.6,CA,1738368857
132,quellon,-43.1167,-73.6167,12.57,73,3,3.23,CL,1738368858
133,buncrana,55.1333,-7.45,3.49,89,100,4.19,IE,1738368859
134,mount isa,-20.7333,139.5,32.87,35,1,7.2,AU,1738368860
135,saint-francois,46.4154,3.9054,0.23,100,20,1.03,FR,1738368862
136,chamzinka,54.4019,45.7839,0.2,95,100,2.99,RU,1738368863
137,sitka,57.0531,-135.33,-2.06,40,20,4.12,US,1738368864
138,san luis de la loma,17.2706,-100.8939,27.01,63,0,3.03,MX,1738368865
139,sultanah,24.4926,39.5857,17.25,39,0,2.57,SA,1738368866
140,yashkul',46.1711,45.3435,1.61,83,37,3.9,RU,1738368868
141,nemuro,43.3236,145.575,-1.83,80,77,5.95,JP,1738368869
142,haiku-pauwela,20.9219,-156.3051,26.78,73,100,8.75,US,1738368870
143,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.57,PT,1738368871
144,coxen hole,16.3244,-86.5366,25.85,89,0,9.29,HN,1738368872
145,fortuna,40.5982,-124.1573,12.42,96,75,3.09,US,1738368874
146,mejit,10.2753,170.8646,26.83,70,83,6.9,MH,1738368875
147,ipatovo,45.7181,42.9036,3.57,87,76,4.61,RU,1738368746
148,la romana,18.4273,-68.9728,23.59,87,17,4.22,DO,1738368878
149,fort st. john,56.2499,-120.8529,-24.06,77,100,8.23,CA,1738368879
150,hamilton,39.1834,-84.5333,11.54,74,75,3.09,US,1738368327
151,utrik,11.2278,169.8474,26.54,68,84,6.47,MH,1738368881
152,la passe,45.5549,-0.8967,9.45,98,100,4.79,FR,1738368882
153,tambacounda,13.7539,-13.7586,24.13,11,1,4.19,SN,1738368884
154,vapnyarka,48.5348,28.7436,5.53,93,100,2.33,UA,1738368885
155,djambala,-2.5447,14.7533,20.89,86,94,1.98,CG,1738368886
156,coroata,-4.13,-44.1242,23.51,98,100,1.2,BR,1738368887
157,qamdo,31.1667,97.2333,-6.5,61,0,3.13,CN,1738368889
158,sao joao da barra,-21.6403,-41.0511,25.18,87,91,9.78,BR,1738368890
159,lihue,21.9789,-159.3672,26.77,71,20,3.6,US,1738368891
160,tangalle,6.024,80.7911,23.63,90,92,4.28,LK,1738368892
161,al qubbah,32.7616,22.2424,7.07,89,76,0.63,LY,1738368894
162,imeni morozova,59.9757,31.0376,2.56,99,100,0.55,RU,1738368779
163,kayangel,8.0823,134.7173,28.57,73,94,10.61,PW,1738368896
164,murun-kuren,49.6342,100.1625,-24.68,92,10,1.15,MN,1738368897
165,smithers,54.7804,-127.1743,-6.66,91,100,1.13,CA,1738368898
166,yangshuo,24.7808,110.4897,11.79,90,100,2.48,CN,1738368900
167,albany,42.6001,-73.9662,0.3,93,100,0.45,US,1738368691
168,zag,46.9441,99.165,-28.09,92,86,1.55,MN,1738368902
169,okhotsk,59.3833,143.3,-22.63,76,0,7.05,RU,1738368903
170,opuwo,-18.0607,13.84,20.28,57,88,2.0,NA,1738368905
171,katsuura,35.1333,140.3,8.35,53,100,4.15,JP,1738368906
172,saint-joseph,-21.3667,55.6167,25.21,82,8,3.74,RE,1738368907
173,klyuchi,52.2667,79.1667,-25.2,99,75,2.93,RU,1738368909
174,carbonear,47.7332,-53.2148,-3.25,78,67,9.63,CA,1738368911
175,acapulco de juarez,16.8634,-99.8901,27.9,78,20,3.6,MX,1738368783
176,paita,-5.0892,-81.1144,22.68,80,50,5.29,PE,1738368684
177,urumqi,43.801,87.6005,-10.47,86,75,1.0,CN,1738368916
178,zunyi,27.6867,106.9072,6.15,92,100,1.28,CN,1738368918
179,itaituba,-4.2761,-55.9836,23.91,98,100,0.61,BR,1738368919
180,kuta,-8.7233,115.1723,27.97,89,40,0.51,ID,1738368681
181,qaqortoq,60.7167,-46.0333,-11.02,90,80,3.73,GL,1738368922
182,bitam,2.076,11.5007,20.15,99,95,1.39,GA,1738368923
183,manggar,-2.8833,108.2667,26.53,80,99,4.58,ID,1738368924
184,remire-montjoly,4.9167,-52.2667,27.02,78,100,4.63,GF,1738368926
185,whitehorse,60.7161,-135.0538,-22.61,69,100,2.68,CA,1738368927
186,paracuru,-3.41,-39.0306,26.97,76,61,5.53,BR,1738368929
187,gwarzo,11.9152,7.9346,18.3,24,5,4.1,NG,1738368931
188,tura,25.5198,90.2201,13.27,58,2,1.67,IN,1738368932
189,panamaram,11.7404,76.0738,18.89,98,68,0.54,IN,1738368933
190,atafu village,-8.5421,-172.5159,28.33,74,44,7.28,TK,1738368769
191,new norfolk,-42.7826,147.0587,21.62,54,75,1.69,AU,1738368935
192,camocim,-2.9022,-40.8411,25.81,86,87,5.45,BR,1738368937
193,port lincoln,-34.7333,135.8667,22.44,68,0,5.81,AU,1738368938
194,kharabali,47.4196,47.2568,-0.39,88,23,3.69,RU,1738368939
195,pedernales,18.0384,-71.744,26.79,71,5,6.24,DO,1738368940
196,kargat,55.1956,80.2811,-23.68,100,97,2.55,RU,1738368942
197,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,40,75,7.0,RU,1738368943
198,afaahiti,-17.75,-149.2833,26.39,77,66,4.47,PF,1738368944
199,tralee,52.2704,-9.7026,5.2,94,100,3.36,IE,1738368945
200,saint-juery,43.9488,2.2103,3.97,72,95,1.86,FR,1738368946
201,pisco,-13.7,-76.2167,22.03,83,0,7.72,PE,1738368948
202,al jawf,29.5,38.75,9.08,62,0,3.87,SA,1738368949
203,rio grande,-32.035,-52.0986,22.23,81,0,4.32,BR,1738368824
204,ghat,24.9647,10.1728,15.24,21,56,3.11,LY,1738368953
205,padang,-0.9492,100.3543,25.03,81,100,2.0,ID,1738368954
206,fairwood,47.4484,-122.1573,8.27,90,100,5.66,US,1738368955
207,pontes e lacerda,-15.2261,-59.3353,24.15,94,100,0.92,BR,1738368801
208,berck-plage,50.407,1.5645,2.94,87,100,4.63,FR,1738368957
209,kota kinabalu,5.9749,116.0724,25.49,94,20,2.57,MY,1738368959
210,fisterra,42.9049,-9.2629,12.61,86,100,3.15,ES,1738368960
211,nilanga,18.1,76.7667,21.39,32,19,2.53,IN,1738368961
212,birjand,32.8663,59.2211,0.76,43,0,1.48,IR,1738368962
213,homer,59.6425,-151.5483,-7.06,56,0,4.12,US,1738368835
214,al ghayzah,16.2079,52.176,19.63,34,18,5.24,YE,1738368966
215,oruro,-17.9833,-67.15,7.75,74,77,10.8,BO,1738368967
216,kailua-kona,19.6406,-155.9956,27.53,75,75,8.23,US,1738368968
217,urucara,-2.5364,-57.76,25.07,90,100,0.63,BR,1738368970
218,talnakh,69.4865,88.3972,-20.56,97,100,2.38,RU,1738368971
219,vadso,70.0744,29.7487,-0.91,93,100,2.57,NO,1738368972
220,vredefort,-27.0081,27.3646,24.41,44,86,1.72,ZA,1738368973
221,dudinka,69.4058,86.1778,-22.52,89,100,3.65,RU,1738368974
222,kirakira,-10.4544,161.9205,26.99,87,100,8.08,SB,1738368976
223,nogliki,51.8333,143.1667,-17.06,95,74,2.76,RU,1738368735
